dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bg
/gpfs/scratch/vkb5066/agbii4/all/11858,11858,-117.89794475,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4592439999999995
/gpfs/scratch/vkb5066/agbii4/all/11859,11859,-117.78228768,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.534007
/gpfs/scratch/vkb5066/agbii4/all/1186,1186,-116.59563018,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0815930000000002
/gpfs/scratch/vkb5066/agbii4/all/11860,11860,-118.12657832,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4755919999999993
/gpfs/scratch/vkb5066/agbii4/all/11861,11861,-117.73286646,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3305599999999997
/gpfs/scratch/vkb5066/agbii4/all/11862,11862,-117.29223176,19,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.175976
/gpfs/scratch/vkb5066/agbii4/all/11863,11863,-118.29668311,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6757229999999996
/gpfs/scratch/vkb5066/agbii4/all/11864,11864,-117.12702508,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2282539999999997
/gpfs/scratch/vkb5066/agbii4/all/11865,11865,-117.21381534,19,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2511889999999997
/gpfs/scratch/vkb5066/agbii4/all/11866,11866,-118.29668103,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6757180000000003
/gpfs/scratch/vkb5066/agbii4/all/11867,11867,-117.94549182,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.519873
/gpfs/scratch/vkb5066/agbii4/all/11868,11868,-117.82684302,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.346978
/gpfs/scratch/vkb5066/agbii4/all/11869,11869,-117.92751155,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5488520000000001
/gpfs/scratch/vkb5066/agbii4/all/1187,1187,-117.15975851,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3285630000000004
/gpfs/scratch/vkb5066/agbii4/all/11870,11870,-117.65577150,17,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2373299999999996
/gpfs/scratch/vkb5066/agbii4/all/11871,11871,-117.65577148,17,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2373299999999996
/gpfs/scratch/vkb5066/agbii4/all/11872,11872,-117.40236940,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2623290000000003
/gpfs/scratch/vkb5066/agbii4/all/11873,11873,-117.40236971,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.262331
/gpfs/scratch/vkb5066/agbii4/all/11874,11874,-117.99969605,17,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3249110000000002
/gpfs/scratch/vkb5066/agbii4/all/11875,11875,-117.50038744,15,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2817560000000006
/gpfs/scratch/vkb5066/agbii4/all/11876,11876,-118.17998743,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5197390000000004
/gpfs/scratch/vkb5066/agbii4/all/11877,11877,-117.70222510,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2275140000000002
/gpfs/scratch/vkb5066/agbii4/all/11878,11878,-117.61239214,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.1403949999999994
/gpfs/scratch/vkb5066/agbii4/all/11879,11879,-117.60457540,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3579590000000006
/gpfs/scratch/vkb5066/agbii4/all/1188,1188,-116.59564291,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0815470000000005
/gpfs/scratch/vkb5066/agbii4/all/11880,11880,-117.99969629,17,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3249140000000006
/gpfs/scratch/vkb5066/agbii4/all/11881,11881,-117.61239228,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.1403949999999994
/gpfs/scratch/vkb5066/agbii4/all/11882,11882,-117.70221105,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2275370000000003
/gpfs/scratch/vkb5066/agbii4/all/11883,11883,-118.17998729,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5197399999999996
